Y,λ_ets,λ_product,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,fringe_a,fringe_b,fringe_g
2024,238.1055,356.1941,39.6986,0.0,0.0,39.6986,0.0,0.0,39.6986,106.8999,106.8999,39.6986,0.0,0.0,0.0,1227.2056,0.0
2025,238.1055,356.1941,15.8595,0.0,0.0,15.8595,0.0,0.0,15.8595,0.0,106.8999,15.8595,0.0,0.0,0.0,1203.366,0.0
2026,238.1055,356.1941,3.9399,0.0,0.0,3.9399,0.0,0.0,3.9399,0.0,106.8999,3.9399,0.0,0.0,0.0,1191.4463,0.0
2027,254.7729,356.1941,1.9952,0.0,0.0,1.9952,0.0,0.0,1.9952,0.0,106.8999,1.9952,0.0,0.0,0.0,1139.6273,0.0
2028,272.607,356.1941,0.4715,0.0,0.0,0.4715,0.0,0.0,0.4715,0.0,106.8999,0.4715,0.0,0.0,0.0,1084.7379,0.0
2029,291.6895,356.1941,-0.305,0.0,0.0,-0.305,0.0,0.0,-0.305,0.0,106.8999,-0.305,0.0,0.0,0.0,1026.86,0.0
2030,312.1078,356.1941,-0.2821,0.0,0.0,-0.2821,0.0,0.0,-0.2821,0.0,106.8999,-0.2821,0.0,0.0,0.0,965.7845,0.0
2031,333.9553,356.1941,0.5962,0.0,0.0,0.5962,0.0,0.0,0.5962,0.0,106.8999,0.5962,0.0,0.0,0.0,901.2874,0.0
2032,357.3322,356.1941,2.3897,0.0,0.0,2.3897,0.0,0.0,2.3897,0.0,106.8999,2.3897,0.0,0.0,0.0,833.1293,0.0
2033,382.3454,356.1941,5.1625,0.0,0.0,5.1625,0.0,0.0,5.1625,0.0,106.8999,5.1625,0.0,0.0,0.0,761.0539,0.0
2034,409.1096,356.1941,8.9832,0.0,0.0,8.9832,0.0,0.0,8.9832,0.0,106.8999,8.9832,0.0,0.0,0.0,684.787,0.0
2035,437.7473,356.1941,9.1393,0.0,0.0,9.1393,0.0,0.0,9.1393,0.0,106.8999,9.1393,0.0,0.0,0.0,623.1788,0.0
