Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,122.6024,391.8023,62.574,0.0,33.3171,0.9373,61.6367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.2247,0.0,-85.2247,0.0,133.008,0.0,73.5935,12.3884,120.6197,1275.682,0.0,332.9308,942.7513
2025,131.2457,409.2821,3.8679,0.0,0.0,4.8052,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,107.0,0.0,0.0,0.0,-106.2255,0.0,-191.4501,0.0,162.7566,0.0,106.7445,0.1908,174.9542,1206.4447,0.0,623.7029,915.6726
2026,140.501,428.8924,-3.5007,0.0,0.0,1.3045,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-112.6359,0.0,-304.086,0.0,174.9593,0.0,106.864,0.0,175.1501,1148.4212,0.0,884.2036,887.9206
2027,150.3861,449.0569,-1.3045,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-116.1424,0.0,-420.2284,0.0,175.3512,0.0,106.9867,0.0,175.3512,1089.6887,0.0,1114.325,859.5673
2028,160.8679,470.1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.8166,0.0,-538.045,0.0,175.455,0.0,107.0501,0.0,175.455,1028.9227,0.0,1312.3484,830.8992
2029,172.1425,492.8028,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-116.5691,0.0,-654.614,0.0,175.2608,0.0,106.9315,0.0,175.2608,966.942,0.0,1477.9502,801.3402
2030,184.2159,516.9369,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-113.2794,0.0,-767.8934,0.0,175.3344,0.0,106.9764,0.0,175.3344,902.5774,0.0,1609.5106,771.017
2031,197.1112,542.3809,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-107.6762,0.0,-875.5696,0.0,175.4905,0.0,107.0717,0.0,175.4905,835.7905,0.0,1705.2659,740.0353
2032,210.8835,564.9277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-11.6896,0.0,-887.2592,0.0,0.0,0.0,0.0,0.0,0.0,854.3199,0.0,1851.1897,708.3961
2033,225.6454,590.5528,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.7439,0.0,-888.0031,0.0,0.0,0.0,0.0,0.0,0.0,782.3862,0.0,1957.6689,675.907
2034,241.4405,603.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,13.1024,0.0,-874.9007,0.0,0.0,0.0,0.0,0.0,0.0,707.5516,0.0,2022.5893,642.6312
2035,258.3414,604.4513,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,30.0523,0.0,-844.8484,0.0,0.0,0.0,0.0,0.0,0.0,629.613,0.0,2043.6528,608.5495
2036,276.4253,617.4092,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,50.3233,0.0,-794.5251,0.0,0.0,0.0,0.0,0.0,0.0,548.3531,0.0,2018.3634,573.6425
2037,295.7751,654.8834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,74.1476,0.0,-720.3775,0.0,0.0,0.0,0.0,0.0,0.0,463.5395,0.0,1944.0128,537.8901
2038,316.4793,696.0494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,101.774,0.0,-618.6035,0.0,0.0,0.0,0.0,0.0,0.0,374.9234,0.0,1817.6642,501.272
2039,338.6329,739.5217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,133.4687,0.0,-485.1348,0.0,0.0,0.0,0.0,0.0,0.0,282.2386,0.0,1636.1357,463.7671
2040,362.3372,785.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,169.5166,0.0,-315.6182,0.0,0.0,0.0,0.0,0.0,0.0,185.2003,0.0,1395.9821,425.354
2041,387.7008,835.6769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,210.2222,0.0,-105.3961,0.0,0.0,0.0,0.0,0.0,0.0,83.5038,0.0,1093.4753,386.0106
2042,414.8398,890.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,222.712,0.0,117.316,0.0,0.0,0.0,0.0,0.0,0.0,10.0225,0.0,757.7833,345.7145
2043,443.8786,950.1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,137.3565,0.0,254.6725,0.0,0.0,0.0,0.0,0.0,0.0,34.3861,0.0,487.7269,304.4425
2044,474.9501,1017.5841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,41.793,0.0,296.4655,0.0,0.0,0.0,0.0,0.0,0.0,68.957,0.0,294.5129,262.1711
2045,508.1966,1086.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-56.0872,0.0,240.3783,0.0,0.0,0.0,0.0,0.0,0.0,105.8442,0.0,181.4811,218.876
2046,543.7704,1093.4592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-101.5093,0.0,138.869,0.0,0.0,0.0,0.0,0.0,0.0,101.3606,0.0,108.3093,174.5324
2047,581.8343,1100.5462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-72.4443,0.0,66.4247,0.0,0.0,0.0,0.0,0.0,0.0,72.2851,0.0,51.4795,129.115
2048,622.5627,1104.6634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-46.5305,0.0,19.8942,0.0,0.0,0.0,0.0,0.0,0.0,46.3602,0.0,15.2419,82.5977
2049,666.1421,1108.7688,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-19.8942,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,19.712,0.0,0.0,34.9539
2050,703.254,1112.9563,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,717.319,1117.2275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,731.6654,1123.9037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,746.2987,1131.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,761.2247,1139.6017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,776.4492,1147.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,791.9782,1155.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,807.8177,1165.7597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,823.9741,1174.3399,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
