Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,115.8881,380.2858,135.0528,0.0,73.0015,0.0,135.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.2508,0.0,-81.2508,0.0,80.9459,0.0,34.3051,24.7199,56.226,1251.0542,0.0,327.6147,923.4395
2025,123.9729,397.8893,65.6169,0.0,35.4686,0.0,65.6169,-0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,-98.5831,0.0,-179.8339,0.0,112.5673,0.0,71.876,19.4824,117.8048,1186.9833,0.0,617.1094,897.4886
2026,132.6988,415.8589,6.7259,0.0,0.0,6.726,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-95.5895,0.0,-275.4234,0.0,156.0043,0.0,107.0694,0.0,175.4867,1139.9665,0.0,886.4597,870.6162
2027,141.9874,434.8835,-5.261,0.0,0.0,1.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.1678,0.0,-377.5912,0.0,175.2079,0.0,106.6912,0.341,174.8669,1079.8771,0.0,1123.0369,843.2998
2028,151.9974,455.5686,-1.465,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-105.7715,0.0,-483.3627,0.0,174.8911,0.0,106.914,0.0,175.2321,1019.0166,0.0,1327.0424,815.0111
2029,162.598,477.0679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.5872,0.0,-589.95,0.0,175.2859,0.0,106.9469,0.0,175.2859,956.936,0.0,1497.528,786.4504
2030,174.0048,500.1053,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-104.2989,0.0,-694.2489,0.0,175.2819,0.0,106.9444,0.0,175.2819,893.671,0.0,1634.225,756.9739
2031,186.1894,524.3987,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-99.7749,0.0,-794.0238,0.0,175.3689,0.0,106.9975,0.0,175.3689,828.0528,0.0,1735.4243,726.8536
2032,199.2028,550.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.7252,0.0,-886.749,0.0,175.3424,0.0,106.9813,0.0,175.3424,760.0505,0.0,1799.3863,696.0885
2033,213.1577,575.1196,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,4.5989,0.0,-882.1501,0.0,-0.0,0.0,0.0,0.0,0.0,777.0688,0.0,1911.979,664.4762
