Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BOF-CC_b_min,BF-BOF-CC_b_Q1,BF-BOF-CC_b_mean,BF-BOF-CC_b_Q3,BF-BOF-CC_b_max,BF-BOF-CC_cap,BF-BOF-CC_g_min,BF-BOF-CC_g_Q1,BF-BOF-CC_g_mean,BF-BOF-CC_g_Q3,BF-BOF-CC_g_max,BF-BOF-CC_bank_min,BF-BOF-CC_bank_Q1,BF-BOF-CC_bank_mean,BF-BOF-CC_bank_Q3,BF-BOF-CC_bank_max,BF-BOF-CC_netto_emiss_min,BF-BOF-CC_netto_emiss_Q1,BF-BOF-CC_netto_emiss_mean,BF-BOF-CC_netto_emiss_Q3,BF-BOF-CC_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,NG-DRI-CC_b_min,NG-DRI-CC_b_Q1,NG-DRI-CC_b_mean,NG-DRI-CC_b_Q3,NG-DRI-CC_b_max,NG-DRI-CC_cap,NG-DRI-CC_g_min,NG-DRI-CC_g_Q1,NG-DRI-CC_g_mean,NG-DRI-CC_g_Q3,NG-DRI-CC_g_max,NG-DRI-CC_bank_min,NG-DRI-CC_bank_Q1,NG-DRI-CC_bank_mean,NG-DRI-CC_bank_Q3,NG-DRI-CC_bank_max,NG-DRI-CC_netto_emiss_min,NG-DRI-CC_netto_emiss_Q1,NG-DRI-CC_netto_emiss_mean,NG-DRI-CC_netto_emiss_Q3,NG-DRI-CC_netto_emiss_max,NGDRI-EAF_b_min,NGDRI-EAF_b_Q1,NGDRI-EAF_b_mean,NGDRI-EAF_b_Q3,NGDRI-EAF_b_max,NGDRI-EAF_cap,NGDRI-EAF_g_min,NGDRI-EAF_g_Q1,NGDRI-EAF_g_mean,NGDRI-EAF_g_Q3,NGDRI-EAF_g_max,NGDRI-EAF_bank_min,NGDRI-EAF_bank_Q1,NGDRI-EAF_bank_mean,NGDRI-EAF_bank_Q3,NGDRI-EAF_bank_max,NGDRI-EAF_netto_emiss_min,NGDRI-EAF_netto_emiss_Q1,NGDRI-EAF_netto_emiss_mean,NGDRI-EAF_netto_emiss_Q3,NGDRI-EAF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,87.6124,87.6124,87.6124,87.6124,87.6124,382.9587,382.9587,382.9587,382.9587,382.9587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.4645,-38.4645,-38.4645,-38.4645,-38.4645,0.0,0.0,0.0,0.0,0.0,1073.272,1073.272,1073.272,1073.272,1073.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,107.0141,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774,0.0,0.0,0.0,0.0,0.0,18023.6489,18023.6489,18023.6489,18023.6489,18023.6489,0.0,0.0,0.0,0.0,0.0,1338.4774,1338.4774,1338.4774,1338.4774,1338.4774
2025,93.0623,93.0623,93.0623,93.0623,93.0623,385.355,385.355,385.355,385.355,385.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.5891,264.5891,264.5891,264.5891,264.5891,0.0,0.0,0.0,0.0,0.0,1337.8611,1337.8611,1337.8611,1337.8611,1337.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268,0.0,0.0,0.0,0.0,0.0,19117.8113,19117.8113,19117.8113,19117.8113,19117.8113,0.0,0.0,0.0,0.0,0.0,1309.6268,1309.6268,1309.6268,1309.6268,1309.6268
2026,100.0283,100.0283,100.0283,100.0283,100.0283,402.9511,402.9511,402.9511,402.9511,402.9511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.7162,221.7162,221.7162,221.7162,221.7162,0.0,0.0,0.0,0.0,0.0,1559.5774,1559.5774,1559.5774,1559.5774,1559.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126,0.0,0.0,0.0,0.0,0.0,20642.4757,20642.4757,20642.4757,20642.4757,20642.4757,0.0,0.0,0.0,0.0,0.0,1274.4126,1274.4126,1274.4126,1274.4126,1274.4126
2027,107.5281,107.5281,107.5281,107.5281,107.5281,420.3228,420.3228,420.3228,420.3228,420.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.5369,181.5369,181.5369,181.5369,181.5369,0.0,0.0,0.0,0.0,0.0,1741.1143,1741.1143,1741.1143,1741.1143,1741.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044,0.0,0.0,0.0,0.0,0.0,22293.4643,22293.4643,22293.4643,22293.4643,22293.4643,0.0,0.0,0.0,0.0,0.0,1236.5044,1236.5044,1236.5044,1236.5044,1236.5044
2028,115.605,115.605,115.605,115.605,115.605,438.0021,438.0021,438.0021,438.0021,438.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.4543,142.4543,142.4543,142.4543,142.4543,0.0,0.0,0.0,0.0,0.0,1883.5686,1883.5686,1883.5686,1883.5686,1883.5686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832,0.0,0.0,0.0,0.0,0.0,24082.3307,24082.3307,24082.3307,24082.3307,24082.3307,0.0,0.0,0.0,0.0,0.0,1195.6832,1195.6832,1195.6832,1195.6832,1195.6832
2029,124.3043,124.3043,124.3043,124.3043,124.3043,456.3571,456.3571,456.3571,456.3571,456.3571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.522,106.522,106.522,106.522,106.522,0.0,0.0,0.0,0.0,0.0,1990.0905,1990.0905,1990.0905,1990.0905,1990.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121,0.0,0.0,0.0,0.0,0.0,26021.6867,26021.6867,26021.6867,26021.6867,26021.6867,0.0,0.0,0.0,0.0,0.0,1151.7121,1151.7121,1151.7121,1151.7121,1151.7121
2030,133.6788,133.6788,133.6788,133.6788,133.6788,475.5039,475.5039,475.5039,475.5039,475.5039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0036,74.0036,74.0036,74.0036,74.0036,0.0,0.0,0.0,0.0,0.0,2064.0941,2064.0941,2064.0941,2064.0941,2064.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273,0.0,0.0,0.0,0.0,0.0,28125.9375,28125.9375,28125.9375,28125.9375,28125.9375,0.0,0.0,0.0,0.0,0.0,1104.3273,1104.3273,1104.3273,1104.3273,1104.3273
2031,143.8019,143.8019,143.8019,143.8019,143.8019,495.4406,495.4406,495.4406,495.4406,495.4406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2381,45.2381,45.2381,45.2381,45.2381,0.0,0.0,0.0,0.0,0.0,2109.3322,2109.3322,2109.3322,2109.3322,2109.3322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829,0.0,0.0,0.0,0.0,0.0,30415.9032,30415.9032,30415.9032,30415.9032,30415.9032,0.0,0.0,0.0,0.0,0.0,1053.1829,1053.1829,1053.1829,1053.1829,1053.1829
2032,154.709,154.709,154.709,154.709,154.709,516.3031,516.3031,516.3031,516.3031,516.3031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4633,20.4633,20.4633,20.4633,20.4633,0.0,0.0,0.0,0.0,0.0,2129.7955,2129.7955,2129.7955,2129.7955,2129.7955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,998.0537,998.0537,998.0537,998.0537,998.0537,998.0537,998.0537,998.0537,998.0537,998.0537,0.0,0.0,0.0,0.0,0.0,32901.8638,32901.8638,32901.8638,32901.8638,32901.8638,0.0,0.0,0.0,0.0,0.0,998.0537,998.0537,998.0537,998.0537,998.0537
2033,166.4855,166.4855,166.4855,166.4855,166.4855,538.0931,538.0931,538.0931,538.0931,538.0931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.0854,0.0854,0.0854,0.0854,0.0,0.0,0.0,0.0,0.0,2129.8809,2129.8809,2129.8809,2129.8809,2129.8809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,0.0,107.0141,107.0141,107.0141,107.0141,107.0141,0.0,0.0,0.0,0.0,0.0,85.6113,85.6113,85.6113,85.6113,85.6113,938.5272,938.5272,938.5272,938.5272,938.5272,938.5272,938.5272,938.5272,938.5272,938.5272,0.0,0.0,0.0,0.0,0.0,35609.27,35609.27,35609.27,35609.27,35609.27,0.0,0.0,0.0,0.0,0.0,938.5272,938.5272,938.5272,938.5272,938.5272
