Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,0.0001,0.0001,9.4729,57.191,206.5375,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,-227.9728,-167.067425,-147.61165,-7.907775000000001,96.1314,0.0,0.0,0.0,0.0,0.0,883.7638,944.6691500000001,964.1249,1103.8287249999998,1207.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,866.0095,1380.059125,1533.60855,1553.0704999999998,1613.9959,864.8001,1377.063,1533.60855,1553.0704999999998,1613.9959,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,155.5709,5669.061374999999,73839.7054,0.0,0.0,0.0,1.6457,3.072,864.8001,1377.063,1533.60855,1553.0704999999998,1613.9959
2025,0.0,0.0,36.634600000000006,85.54415,238.6228,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.8177500000000002,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,187.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8177500000000002,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,187.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8177500000000002,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,187.9857,0.0,0.0,0.0,0.0,0.0,-228.4136,-181.2853,-167.20569999999998,-118.321625,72.1876,0.0,0.0,0.0,0.0,0.0,655.3501,763.3838499999999,797.89845,985.5071,1280.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8177500000000002,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,187.9857,0.0,0.0,0.0,0.0,0.0,866.5325,1378.182475,1433.5387,1448.0939999999998,1495.2215,864.8001,1377.063,1433.5387,1448.0939999999998,1495.2215,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2170.88755,11842.696375,92100.891,0.0,0.0,0.0,3.45385,5.9671,864.8001,1377.063,1433.5387,1448.0939999999998,1495.2215
2026,0.0,3.3777,61.40815,111.23410000000001,267.1807,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,258.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,258.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,258.0331,0.0,0.0,0.0,0.0,0.0,-182.2466,-148.0137,-138.19150000000002,-132.44729999999998,60.214,0.0,0.0,0.0,0.0,0.0,473.1035,617.642375,663.8214,828.1604249999999,1340.2696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,258.0331,0.0,0.0,0.0,0.0,0.0,866.8027,1339.1257,1345.4011,1355.222575,1389.4538,864.8001,1339.1257,1345.4011,1355.222575,1389.4538,0.0,0.0,0.0,0.0,0.0,-0.0,17.72165,5700.287050000001,18709.587675,107910.6199,0.0,0.0,0.0,4.1156749999999995,7.9042,864.8001,1339.1257,1345.4011,1355.222575,1389.4538
2027,0.0,27.699275,84.31425,134.849275,293.0151,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,316.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,316.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,316.1067,0.0,0.0,0.0,0.0,0.0,-157.7579,-125.869525,-114.71405,-109.03535000000001,48.2403,0.0,0.0,0.0,0.0,0.0,326.9416,499.76762499999995,554.9852000000001,701.2977999999999,1388.5099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,316.1067,0.0,0.0,0.0,0.0,0.0,867.0733,1256.490575,1261.3341500000001,1273.4342000000001,1300.499,864.8001,1256.490575,1261.3341500000001,1272.576425,1300.499,0.0,0.0,0.0,0.0,0.0,-0.0,1084.3456,10043.212749999999,25695.979325,121297.2533,0.0,0.0,0.0,4.1156749999999995,11.1493,864.8001,1256.490575,1261.3341500000001,1272.576425,1300.499
2028,0.0,50.245,105.765,156.85065,316.7396,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,44.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,360.4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,360.4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,360.4879,0.0,0.0,0.0,0.0,0.0,-151.6493,-106.385175,-97.10865,-90.73485000000001,44.2441,0.0,0.0,0.0,0.0,0.0,207.664,402.394025,464.6106,596.951825,1432.7539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,360.4879,0.0,0.0,0.0,0.0,0.0,864.8549,1177.36175,1183.73565,1193.00995,1238.2733,864.7998,1177.36175,1183.73565,1193.00995,1238.228,0.0,0.0,0.0,0.0,0.0,0.0,3333.5076499999996,14769.49985,32488.56685,132462.4087,0.0,0.0,0.0,4.1156749999999995,11.1944,864.7998,1177.36175,1183.73565,1193.00995,1238.228
2029,0.0,71.42495,126.09559999999999,177.60722499999997,338.9089,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,392.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,392.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,392.6934,0.0,0.0,0.0,0.0,0.0,-141.3706,-89.77445,-81.52735,-76.782275,31.9624,0.0,0.0,0.0,0.0,0.0,109.5112,320.912575,388.55055000000004,510.066075,1464.7163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,392.6934,0.0,0.0,0.0,0.0,0.0,864.8558,1102.4247,1107.16995,1115.4141,1167.0164,864.7997,1102.4247,1107.16995,1115.4141,1167.0164,0.0,0.0,0.0,0.0,0.0,0.0,6295.2480000000005,19620.02345,38929.716100000005,141732.5319,0.0,0.0,0.0,4.1156749999999995,11.24,864.7997,1102.4247,1107.16995,1115.4141,1167.0164
2030,0.0,91.54335,145.55585,197.397325,362.6325,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,412.6926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,412.6926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,412.6926,0.0,0.0,0.0,0.0,0.0,-153.5149,-74.57575,-69.20485,-65.52857499999999,19.7984,0.0,0.0,0.0,0.0,0.0,38.2397,251.744025,323.58145,436.708875,1484.5147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,412.6926,0.0,0.0,0.0,0.0,0.0,864.8606,1030.1864999999998,1033.8629,1039.230925,1118.1709,864.7995,1030.1864999999998,1033.8629,1039.230925,1118.1204,0.0,0.0,0.0,0.0,0.0,0.0,9664.451675,24432.97145,44941.690474999996,151653.8077,0.0,0.0,0.0,4.1156749999999995,11.2906,864.7995,1030.1864999999998,1033.8629,1039.230925,1118.1204
2031,0.0,110.83887499999999,164.3418,216.439225,388.0169,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.8065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,-143.2779,-63.028625,-59.10165,-56.542975,7.5855,0.0,0.0,0.0,0.0,0.0,0.0002,192.1168,267.20579999999995,373.83265,1492.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,864.8607,960.216525,962.7738999999999,966.700225,1046.9578,864.8,960.216525,962.7738999999999,966.700225,1046.9578,0.0,0.0,0.0,0.0,0.0,0.0,13241.038,29109.19535,50494.966225000004,162269.6102,0.0,0.0,0.0,4.1156749999999995,11.2906,864.8,960.216525,962.7738999999999,966.700225,1046.9578
2032,0.0001,129.497025,182.60505,234.90064999999998,414.8072,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,-138.6974,-54.625625,-51.3831,-49.797075,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,139.880425,217.48874999999998,319.07945,1469.9391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,842.6882,892.4872,894.07095,897.3145499999999,981.3854,842.6882,892.4872,894.07095,897.3145499999999,981.3376,0.0,0.0,0.0,0.0,0.0,0.0,16891.806675,33587.4856,55584.6915,173318.4241,0.0,0.0,0.0,4.1156749999999995,11.2906,842.6882,892.4872,894.07095,897.3145499999999,981.3376
2033,0.0001,147.66232499999998,200.4641,252.913025,431.2729,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,-183.2342,-48.461200000000005,-45.675700000000006,-44.587975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.373275,172.9312,270.61834999999996,1386.7962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1979500000000005,420.4991,0.0,0.0,0.0,0.0,0.0,781.704,826.292975,827.38005,830.1675,964.9476,781.704,826.292975,827.38005,830.1675,964.9476,0.0,0.0,0.0,0.0,0.0,0.0,20526.22175,37830.45125,60220.198449999996,175094.6081,0.0,0.0,0.0,4.1156749999999995,11.2906,781.704,826.292975,827.38005,830.1675,964.9476
