Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,109.5388,368.869,203.4349,0.0,106.8116,5.8335,197.6014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,-74.2884,0.0,-74.2884,0.0,26.4793,0.0,0.0,26.4793,0.0,1230.4768,0.0,327.0402,903.4366
2025,117.2613,386.5196,143.0456,0.0,80.4752,0.0,148.879,-0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-94.4896,0.0,-168.778,0.0,53.249,0.0,26.3298,36.5737,43.1546,1165.1091,0.0,614.3074,877.8419
2026,125.407,404.1938,73.5777,0.0,39.7717,0.0,73.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.7615,0.0,-257.5395,0.0,100.0177,0.0,66.9688,26.8296,109.7618,1122.5091,0.0,884.6569,852.1597
2027,134.1964,422.7691,6.5746,0.0,0.0,6.5746,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,99.6148,0.0,0.0,0.0,-83.2398,0.0,-340.7793,0.0,148.054,0.0,106.7014,0.0,174.8836,1076.3198,0.0,1135.466,825.5107
2028,143.5283,441.4836,-6.5746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.2042,0.0,-433.9835,0.0,175.3869,0.0,107.0063,0.0036,175.3833,1011.0246,0.0,1347.9993,798.4913
2029,153.6341,462.297,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-97.5537,0.0,-531.5372,0.0,175.5916,0.0,107.1356,0.0,175.5952,947.4711,0.0,1525.1396,770.3308
2030,164.3795,484.3593,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-96.2505,0.0,-627.7876,0.0,175.4365,0.0,107.0387,0.0,175.4365,885.426,0.0,1668.7372,741.8285
2031,175.8674,507.3914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.9407,0.0,-720.7283,0.0,175.5795,0.0,107.126,0.0,175.5795,820.9532,0.0,1777.0646,712.6258
2032,188.1767,531.9402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.1391,0.0,-807.8674,0.0,175.5293,0.0,107.0954,0.0,175.5293,754.2274,0.0,1848.6217,682.6702
2033,201.372,558.1562,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-78.7535,0.0,-886.6209,0.0,175.4057,0.0,107.0199,0.0,175.4057,685.0085,0.0,1881.7148,651.9154
2034,215.4191,585.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9833,0.0,0.0,7.6638,0.0,-878.9571,0.0,24.6252,0.0,15.0245,0.0,24.6251,688.3893,0.0,1949.4716,620.6325
2035,230.5318,606.2532,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,7.3852,107.0,0.0,0.0,33.9016,0.0,-845.0555,0.0,-0.0,0.0,0.0,0.0,0.0,625.7778,0.0,1986.9113,588.3381
