Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BOF-CC_b_min,BF-BOF-CC_b_Q1,BF-BOF-CC_b_mean,BF-BOF-CC_b_Q3,BF-BOF-CC_b_max,BF-BOF-CC_cap,BF-BOF-CC_g_min,BF-BOF-CC_g_Q1,BF-BOF-CC_g_mean,BF-BOF-CC_g_Q3,BF-BOF-CC_g_max,BF-BOF-CC_bank_min,BF-BOF-CC_bank_Q1,BF-BOF-CC_bank_mean,BF-BOF-CC_bank_Q3,BF-BOF-CC_bank_max,BF-BOF-CC_netto_emiss_min,BF-BOF-CC_netto_emiss_Q1,BF-BOF-CC_netto_emiss_mean,BF-BOF-CC_netto_emiss_Q3,BF-BOF-CC_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,NG-DRI-CC_b_min,NG-DRI-CC_b_Q1,NG-DRI-CC_b_mean,NG-DRI-CC_b_Q3,NG-DRI-CC_b_max,NG-DRI-CC_cap,NG-DRI-CC_g_min,NG-DRI-CC_g_Q1,NG-DRI-CC_g_mean,NG-DRI-CC_g_Q3,NG-DRI-CC_g_max,NG-DRI-CC_bank_min,NG-DRI-CC_bank_Q1,NG-DRI-CC_bank_mean,NG-DRI-CC_bank_Q3,NG-DRI-CC_bank_max,NG-DRI-CC_netto_emiss_min,NG-DRI-CC_netto_emiss_Q1,NG-DRI-CC_netto_emiss_mean,NG-DRI-CC_netto_emiss_Q3,NG-DRI-CC_netto_emiss_max,NGDRI-EAF_b_min,NGDRI-EAF_b_Q1,NGDRI-EAF_b_mean,NGDRI-EAF_b_Q3,NGDRI-EAF_b_max,NGDRI-EAF_cap,NGDRI-EAF_g_min,NGDRI-EAF_g_Q1,NGDRI-EAF_g_mean,NGDRI-EAF_g_Q3,NGDRI-EAF_g_max,NGDRI-EAF_bank_min,NGDRI-EAF_bank_Q1,NGDRI-EAF_bank_mean,NGDRI-EAF_bank_Q3,NGDRI-EAF_bank_max,NGDRI-EAF_netto_emiss_min,NGDRI-EAF_netto_emiss_Q1,NGDRI-EAF_netto_emiss_mean,NGDRI-EAF_netto_emiss_Q3,NGDRI-EAF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,72.2771,72.2771,72.2771,72.2771,72.2771,386.5352,386.5352,386.5352,386.5352,386.5352,181.9835,181.9835,181.9835,181.9835,181.9835,0.0,107.0491,107.0491,107.0491,107.0491,107.0491,0.0,0.0,0.0,0.0,0.0,181.9835,181.9835,181.9835,181.9835,181.9835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.5745,-210.5745,-210.5745,-210.5745,-210.5745,0.0,0.0,0.0,0.0,0.0,901.162,901.162,901.162,901.162,901.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543,0.0,0.0,0.0,0.0,0.0,12347.599,12347.599,12347.599,12347.599,12347.599,0.0,0.0,0.0,0.0,0.0,1414.5543,1414.5543,1414.5543,1414.5543,1414.5543
2025,81.2176,81.2176,81.2176,81.2176,81.2176,406.776,406.776,406.776,406.776,406.776,181.8688,181.8688,181.8688,181.8688,181.8688,0.0,106.9817,106.9817,106.9817,106.9817,106.9817,0.0,0.0,0.0,0.0,0.0,181.8688,181.8688,181.8688,181.8688,181.8688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0834,109.0834,109.0834,109.0834,109.0834,0.0,0.0,0.0,0.0,0.0,1010.2454,1010.2454,1010.2454,1010.2454,1010.2454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827,0.0,0.0,0.0,0.0,0.0,14597.3279,14597.3279,14597.3279,14597.3279,14597.3279,0.0,0.0,0.0,0.0,0.0,1368.9827,1368.9827,1368.9827,1368.9827,1368.9827
2026,91.0434,91.0434,91.0434,91.0434,91.0434,428.8514,428.8514,428.8514,428.8514,428.8514,181.8704,181.8704,181.8704,181.8704,181.8704,0.0,106.9826,106.9826,106.9826,106.9826,106.9826,0.0,0.0,0.0,0.0,0.0,181.8704,181.8704,181.8704,181.8704,181.8704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.583,80.583,80.583,80.583,80.583,0.0,0.0,0.0,0.0,0.0,1090.8284,1090.8284,1090.8284,1090.8284,1090.8284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885,0.0,0.0,0.0,0.0,0.0,17133.2149,17133.2149,17133.2149,17133.2149,17133.2149,0.0,0.0,0.0,0.0,0.0,1319.3885,1319.3885,1319.3885,1319.3885,1319.3885
2027,101.3161,101.3161,101.3161,101.3161,101.3161,451.7924,451.7924,451.7924,451.7924,451.7924,181.8699,181.8699,181.8699,181.8699,181.8699,0.0,106.9823,106.9823,106.9823,106.9823,106.9823,0.0,0.0,0.0,0.0,0.0,181.8699,181.8699,181.8699,181.8699,181.8699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3463,54.3463,54.3463,54.3463,54.3463,0.0,0.0,0.0,0.0,0.0,1145.1747,1145.1747,1145.1747,1145.1747,1145.1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289,0.0,0.0,0.0,0.0,0.0,19820.9407,19820.9407,19820.9407,19820.9407,19820.9407,0.0,0.0,0.0,0.0,0.0,1267.5289,1267.5289,1267.5289,1267.5289,1267.5289
2028,111.9986,111.9986,111.9986,111.9986,111.9986,475.539,475.539,475.539,475.539,475.539,181.8716,181.8716,181.8716,181.8716,181.8716,0.0,106.9833,106.9833,106.9833,106.9833,106.9833,0.0,0.0,0.0,0.0,0.0,181.8716,181.8716,181.8716,181.8716,181.8716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3544,28.3544,28.3544,28.3544,28.3544,0.0,0.0,0.0,0.0,0.0,1173.529,1173.529,1173.529,1173.529,1173.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.61,1213.61,1213.61,1213.61,1213.61,1213.61,1213.61,1213.61,1213.61,1213.61,0.0,0.0,0.0,0.0,0.0,22627.3135,22627.3135,22627.3135,22627.3135,22627.3135,0.0,0.0,0.0,0.0,0.0,1213.61,1213.61,1213.61,1213.61,1213.61
2029,123.0573,123.0573,123.0573,123.0573,123.0573,500.0396,500.0396,500.0396,500.0396,500.0396,181.8785,181.8785,181.8785,181.8785,181.8785,0.0,106.9873,106.9873,106.9873,106.9873,106.9873,0.0,0.0,0.0,0.0,0.0,181.8785,181.8785,181.8785,181.8785,181.8785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1792,4.1792,4.1792,4.1792,4.1792,0.0,0.0,0.0,0.0,0.0,1177.7082,1177.7082,1177.7082,1177.7082,1177.7082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506,0.0,0.0,0.0,0.0,0.0,25515.6926,25515.6926,25515.6926,25515.6926,25515.6926,0.0,0.0,0.0,0.0,0.0,1157.8506,1157.8506,1157.8506,1157.8506,1157.8506
2030,134.4602,134.4602,134.4602,134.4602,134.4602,525.2426,525.2426,525.2426,525.2426,525.2426,181.8868,181.8868,181.8868,181.8868,181.8868,0.0,106.9923,106.9923,106.9923,106.9923,106.9923,0.0,0.0,0.0,0.0,0.0,181.8868,181.8868,181.8868,181.8868,181.8868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.2857,-18.2857,-18.2857,-18.2857,-18.2857,0.0,0.0,0.0,0.0,0.0,1159.4226,1159.4226,1159.4226,1159.4226,1159.4226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683,0.0,0.0,0.0,0.0,0.0,28456.5011,28456.5011,28456.5011,28456.5011,28456.5011,0.0,0.0,0.0,0.0,0.0,1100.3683,1100.3683,1100.3683,1100.3683,1100.3683
2031,141.6441,141.6441,141.6441,141.6441,141.6441,543.3678,543.3678,543.3678,543.3678,543.3678,181.9537,181.9537,181.9537,181.9537,181.9537,0.0,107.0316,107.0316,107.0316,107.0316,107.0316,0.0,0.0,0.0,0.0,0.0,181.9537,181.9537,181.9537,181.9537,181.9537,0.0,0.0,0.0,0.0,0.0,18.4355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.1892,-62.1892,-62.1892,-62.1892,-62.1892,0.0,0.0,0.0,0.0,0.0,1097.2333,1097.2333,1097.2333,1097.2333,1097.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389,0.0,0.0,0.0,0.0,0.0,29497.5952,29497.5952,29497.5952,29497.5952,29497.5952,0.0,0.0,0.0,0.0,0.0,1064.2389,1064.2389,1064.2389,1064.2389,1064.2389
2032,145.6175,145.6175,145.6175,145.6175,145.6175,556.1784,556.1784,556.1784,556.1784,556.1784,181.9285,181.9285,181.9285,181.9285,181.9285,0.0,107.0167,107.0167,107.0167,107.0167,107.0167,0.0,0.0,0.0,0.0,0.0,181.9285,181.9285,181.9285,181.9285,181.9285,0.0,0.0,0.0,0.0,0.0,36.6914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.9522,-121.9522,-121.9522,-121.9522,-121.9522,0.0,0.0,0.0,0.0,0.0,975.2811,975.2811,975.2811,975.2811,975.2811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278,0.0,0.0,0.0,0.0,0.0,29138.7884,29138.7884,29138.7884,29138.7884,29138.7884,0.0,0.0,0.0,0.0,0.0,1044.1278,1044.1278,1044.1278,1044.1278,1044.1278
2033,155.5774,155.5774,155.5774,155.5774,155.5774,579.2057,579.2057,579.2057,579.2057,579.2057,181.9396,181.9396,181.9396,181.9396,181.9396,0.0,107.0233,107.0233,107.0233,107.0233,107.0233,0.0,0.0,0.0,0.0,0.0,181.9396,181.9396,181.9396,181.9396,181.9396,0.0,0.0,0.0,0.0,0.0,29.2738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151.793,-151.793,-151.793,-151.793,-151.793,0.0,0.0,0.0,0.0,0.0,823.4881,823.4881,823.4881,823.4881,823.4881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0194,994.0194,994.0194,994.0194,994.0194,994.0194,994.0194,994.0194,994.0194,994.0194,0.0,0.0,0.0,0.0,0.0,31067.513,31067.513,31067.513,31067.513,31067.513,0.0,0.0,0.0,0.0,0.0,994.0194,994.0194,994.0194,994.0194,994.0194
