Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,109.5767,368.7763,202.6742,0.0,106.7049,5.2701,197.404,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0005,0.0,32.0166,0.0,0.0,32.0166,0.0,1151.4959,0.0,248.1955,903.3005
2025,117.32,386.5535,138.395,0.0,77.6568,0.0,143.6651,-0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,51.6212,0.0,29.1158,35.9171,47.7207,1076.9888,0.0,447.5647,877.6195
2026,125.4662,404.3087,71.3553,0.0,38.5704,0.0,71.3553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.3136,0.0,68.1873,25.4717,111.759,1034.7496,0.0,630.375,851.9393
2027,134.261,422.7967,11.3634,0.0,0.0,11.3634,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,97.2012,0.0,0.0,0.0,149.4327,0.0,106.7141,0.0,174.9044,986.9323,0.0,792.0552,825.2521
2028,143.5921,441.7136,-7.0653,0.0,0.0,4.2981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.4131,0.0,107.0095,0.0246,175.3885,918.2782,0.0,912.1005,798.2329
2029,153.7393,462.4703,-4.2981,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,175.3947,0.0,107.0282,0.0,175.4192,854.5457,0.0,996.6725,769.9737
2030,164.4008,484.2912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.8534,0.0,107.2931,0.0,175.8534,788.5813,0.0,1043.5701,741.6837
2031,175.9289,507.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3306,0.0,106.9741,0.0,175.3306,728.3389,0.0,1059.4749,712.4341
2032,188.3249,532.3565,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,175.3023,0.0,106.9569,0.0,175.3023,667.3837,0.0,1044.6663,682.1923
2033,201.4435,558.1891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.659,0.0,107.1745,0.0,175.659,605.9063,0.0,998.9198,651.6528
2034,215.4555,585.4746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1887,0.0,0.0,37.667,0.0,20.8265,3.5323,34.1347,683.0057,0.0,1061.4084,620.5172
2035,230.6451,604.4859,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,9.7988,107.0,0.0,0.0,-3.5323,0.0,0.0,0.0,0.0,663.2178,0.0,1136.6226,588.0036
2036,246.773,628.9981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.682,0.0,1180.2396,555.065
2037,264.0471,629.7518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.6931,0.0,1196.6482,521.2845
2038,282.5304,644.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.7039,0.0,1186.6662,486.6859
