Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,104.7954,359.1313,216.1774,0.0,106.7221,18.7416,197.4358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.1841,0.0,-58.1841,0.0,15.3959,0.0,0.0,15.3959,0.0,1212.6672,0.0,336.3448,876.3224
2025,112.1834,376.3301,182.4459,0.0,106.6484,3.888,197.2995,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-84.2925,0.0,-142.4766,0.0,26.1927,0.0,0.0,41.5886,0.0,1142.5184,0.0,627.5753,851.2879
2026,120.0923,394.7807,136.4837,0.0,75.8766,0.0,140.3717,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-84.11,0.0,-226.5866,0.0,59.3197,0.0,31.0263,50.0562,50.8521,1095.5777,0.0,897.5119,825.6411
2027,128.4969,413.1497,72.7991,0.0,39.3503,0.001,72.7981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.2575,0.0,-303.8441,0.0,100.0276,0.0,67.7681,39.0119,111.0719,1052.0083,0.0,1149.9177,799.6025
2028,137.5509,432.0731,12.0825,0.0,0.0,12.0835,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-70.9403,0.0,-374.7844,0.0,141.1046,0.0,106.8907,4.9227,175.1939,1004.3741,0.0,1381.5714,772.7204
2029,147.2482,452.1824,-7.668,0.0,0.0,4.4155,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,72.5506,0.0,0.0,0.0,-77.5936,0.0,-452.378,0.0,170.9055,0.0,107.2777,0.0,175.8282,939.9928,0.0,1576.4124,745.1518
2030,157.5939,473.4551,-4.4155,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-81.15,0.0,-533.5281,0.0,175.5221,0.0,107.0909,0.0,175.5221,874.6674,0.0,1734.0457,717.0342
2031,168.5334,495.4564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.7705,0.0,-614.2985,0.0,175.4632,0.0,107.055,0.0001,175.4631,808.9542,0.0,1854.28,688.7199
2032,180.3452,519.291,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-75.8689,0.0,-690.1675,0.0,175.4079,0.0,107.0213,0.0,175.4079,743.1365,0.0,1938.076,659.3404
2033,192.928,544.1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.3637,0.0,-758.5312,0.0,175.1474,0.0,106.8623,0.0,175.1474,674.9721,0.0,1983.6014,629.4467
