Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,104.8427,359.7831,219.7561,0.0,106.8527,22.0787,197.6775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7969,0.0,0.0,14.7969,0.0,1151.6342,0.0,275.4992,876.135
2025,112.2516,376.8576,180.9519,0.0,106.8322,5.391,197.6395,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,17.7299,0.0,0.0,32.5268,0.0,1068.3227,0.0,492.8078,851.0141
2026,120.184,395.1338,136.803,0.0,76.8616,0.0,142.194,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,54.1255,0.0,29.9312,37.5952,49.0572,1016.4922,0.0,684.0234,825.2766
2027,128.5456,413.3614,70.101,0.0,37.8924,0.0,70.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.1249,0.0,68.8625,26.8545,112.8656,975.6294,0.0,860.1776,799.4751
2028,137.5684,432.2472,12.8147,0.0,0.0,12.8147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.9666,0.0,106.6633,0.0,174.8211,926.0155,0.0,1013.4952,772.6979
2029,147.2511,452.3417,-7.7444,0.0,0.0,5.0703,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,72.7232,0.0,0.0,0.0,175.2379,0.0,106.9176,0.0,175.2379,858.0675,0.0,1126.4427,745.12
2030,157.5365,473.0009,-5.0702,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.5362,0.0,107.0996,0.0,175.5362,794.1786,0.0,1203.3664,717.2549
2031,168.642,495.5229,-0.0001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,175.6133,0.0,107.1466,0.0,175.6133,727.9622,0.0,1243.0166,688.312
2032,180.2549,518.8962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3994,0.0,107.0161,0.0,175.3994,667.2849,0.0,1250.6483,659.6532
2033,192.9009,544.1467,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.6431,0.0,107.1648,0.0,175.6431,605.9542,0.0,1227.1023,629.5002
