Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BOF-CC_b_min,BF-BOF-CC_b_Q1,BF-BOF-CC_b_mean,BF-BOF-CC_b_Q3,BF-BOF-CC_b_max,BF-BOF-CC_cap,BF-BOF-CC_g_min,BF-BOF-CC_g_Q1,BF-BOF-CC_g_mean,BF-BOF-CC_g_Q3,BF-BOF-CC_g_max,BF-BOF-CC_bank_min,BF-BOF-CC_bank_Q1,BF-BOF-CC_bank_mean,BF-BOF-CC_bank_Q3,BF-BOF-CC_bank_max,BF-BOF-CC_netto_emiss_min,BF-BOF-CC_netto_emiss_Q1,BF-BOF-CC_netto_emiss_mean,BF-BOF-CC_netto_emiss_Q3,BF-BOF-CC_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,NG-DRI-CC_b_min,NG-DRI-CC_b_Q1,NG-DRI-CC_b_mean,NG-DRI-CC_b_Q3,NG-DRI-CC_b_max,NG-DRI-CC_cap,NG-DRI-CC_g_min,NG-DRI-CC_g_Q1,NG-DRI-CC_g_mean,NG-DRI-CC_g_Q3,NG-DRI-CC_g_max,NG-DRI-CC_bank_min,NG-DRI-CC_bank_Q1,NG-DRI-CC_bank_mean,NG-DRI-CC_bank_Q3,NG-DRI-CC_bank_max,NG-DRI-CC_netto_emiss_min,NG-DRI-CC_netto_emiss_Q1,NG-DRI-CC_netto_emiss_mean,NG-DRI-CC_netto_emiss_Q3,NG-DRI-CC_netto_emiss_max,NGDRI-EAF_b_min,NGDRI-EAF_b_Q1,NGDRI-EAF_b_mean,NGDRI-EAF_b_Q3,NGDRI-EAF_b_max,NGDRI-EAF_cap,NGDRI-EAF_g_min,NGDRI-EAF_g_Q1,NGDRI-EAF_g_mean,NGDRI-EAF_g_Q3,NGDRI-EAF_g_max,NGDRI-EAF_bank_min,NGDRI-EAF_bank_Q1,NGDRI-EAF_bank_mean,NGDRI-EAF_bank_Q3,NGDRI-EAF_bank_max,NGDRI-EAF_netto_emiss_min,NGDRI-EAF_netto_emiss_Q1,NGDRI-EAF_netto_emiss_mean,NGDRI-EAF_netto_emiss_Q3,NGDRI-EAF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,55.0565,55.0565,55.0565,55.0565,55.0565,357.0131,357.0131,357.0131,357.0131,357.0131,181.8505,181.8505,181.8505,181.8505,181.8505,0.0,106.9709,106.9709,106.9709,106.9709,106.9709,0.0,0.0,0.0,0.0,0.0,181.8505,181.8505,181.8505,181.8505,181.8505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-297.4798,-297.4798,-297.4798,-297.4798,-297.4798,0.0,0.0,0.0,0.0,0.0,814.2567,814.2567,814.2567,814.2567,814.2567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549,0.0,0.0,0.0,0.0,0.0,7163.1482,7163.1482,7163.1482,7163.1482,7163.1482,0.0,0.0,0.0,0.0,0.0,1501.6549,1501.6549,1501.6549,1501.6549,1501.6549
2025,59.6348,59.6348,59.6348,59.6348,59.6348,370.0407,370.0407,370.0407,370.0407,370.0407,181.9464,181.9464,181.9464,181.9464,181.9464,0.0,107.0273,107.0273,107.0273,107.0273,107.0273,0.0,0.0,0.0,0.0,0.0,181.9464,181.9464,181.9464,181.9464,181.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0321,-1.0321,-1.0321,-1.0321,-1.0321,0.0,0.0,0.0,0.0,0.0,813.2247,813.2247,813.2247,813.2247,813.2247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572,0.0,0.0,0.0,0.0,0.0,7836.0683,7836.0683,7836.0683,7836.0683,7836.0683,0.0,0.0,0.0,0.0,0.0,1478.8572,1478.8572,1478.8572,1478.8572,1478.8572
2026,66.4186,66.4186,66.4186,66.4186,66.4186,386.968,386.968,386.968,386.968,386.968,181.9311,181.9311,181.9311,181.9311,181.9311,0.0,107.0183,107.0183,107.0183,107.0183,107.0183,0.0,0.0,0.0,0.0,0.0,181.9311,181.9311,181.9311,181.9311,181.9311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.5849,-44.5849,-44.5849,-44.5849,-44.5849,0.0,0.0,0.0,0.0,0.0,768.6398,768.6398,768.6398,768.6398,768.6398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724,0.0,0.0,0.0,0.0,0.0,9096.7191,9096.7191,9096.7191,9096.7191,9096.7191,0.0,0.0,0.0,0.0,0.0,1444.3724,1444.3724,1444.3724,1444.3724,1444.3724
2027,74.329,74.329,74.329,74.329,74.329,405.9177,405.9177,405.9177,405.9177,405.9177,169.4397,169.4397,169.4397,169.4397,169.4397,0.0,99.6704,99.6704,99.6704,99.6704,99.6704,0.0,0.0,0.0,0.0,0.0,169.4397,169.4397,169.4397,169.4397,169.4397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8166,7.3355,7.3355,7.3355,7.3355,7.3355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.4231,-70.4231,-70.4231,-70.4231,-70.4231,0.0,0.0,0.0,0.0,0.0,698.2166,698.2166,698.2166,698.2166,698.2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922,0.0,0.0,0.0,0.0,0.0,10636.3385,10636.3385,10636.3385,10636.3385,10636.3385,0.0,0.0,0.0,0.0,0.0,1404.5922,1404.5922,1404.5922,1404.5922,1404.5922
2028,84.4467,84.4467,84.4467,84.4467,84.4467,417.6974,417.6974,417.6974,417.6974,417.6974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9516,106.9975,106.9975,106.9975,106.9975,106.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4703,71.4703,71.4703,71.4703,71.4703,0.0,0.0,0.0,0.0,0.0,769.6869,769.6869,769.6869,769.6869,769.6869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627,0.0,0.0,0.0,0.0,0.0,12898.9059,12898.9059,12898.9059,12898.9059,12898.9059,0.0,0.0,0.0,0.0,0.0,1352.3627,1352.3627,1352.3627,1352.3627,1352.3627
2029,95.2381,95.2381,95.2381,95.2381,95.2381,431.634,431.634,431.634,431.634,431.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9975,106.9975,106.9975,106.9975,106.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8007,46.8007,46.8007,46.8007,46.8007,0.0,0.0,0.0,0.0,0.0,816.4876,816.4876,816.4876,816.4876,816.4876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114,0.0,0.0,0.0,0.0,0.0,15364.9772,15364.9772,15364.9772,15364.9772,15364.9772,0.0,0.0,0.0,0.0,0.0,1297.2114,1297.2114,1297.2114,1297.2114,1297.2114
2030,106.2124,106.2124,106.2124,106.2124,106.2124,446.547,446.547,446.547,446.547,446.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9975,106.9975,106.9975,106.9975,106.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3485,24.3485,24.3485,24.3485,24.3485,0.0,0.0,0.0,0.0,0.0,840.8361,840.8361,840.8361,840.8361,840.8361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105,0.0,0.0,0.0,0.0,0.0,17964.0777,17964.0777,17964.0777,17964.0777,17964.0777,0.0,0.0,0.0,0.0,0.0,1240.0105,1240.0105,1240.0105,1240.0105,1240.0105
2031,118.1085,118.1085,118.1085,118.1085,118.1085,460.6279,460.6279,460.6279,460.6279,460.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9975,106.9975,106.9975,106.9975,106.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3913,4.3913,4.3913,4.3913,4.3913,0.0,0.0,0.0,0.0,0.0,845.2274,845.2274,845.2274,845.2274,845.2274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765,0.0,0.0,0.0,0.0,0.0,20722.5013,20722.5013,20722.5013,20722.5013,20722.5013,0.0,0.0,0.0,0.0,0.0,1180.0765,1180.0765,1180.0765,1180.0765,1180.0765
2032,130.3559,130.3559,130.3559,130.3559,130.3559,482.3489,482.3489,482.3489,482.3489,482.3489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9975,106.9975,106.9975,106.9975,106.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6766,-13.6766,-13.6766,-13.6766,-13.6766,0.0,0.0,0.0,0.0,0.0,831.5507,831.5507,831.5507,831.5507,831.5507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356,0.0,0.0,0.0,0.0,0.0,23565.326,23565.326,23565.326,23565.326,23565.326,0.0,0.0,0.0,0.0,0.0,1118.2356,1118.2356,1118.2356,1118.2356,1118.2356
2033,143.0087,143.0087,143.0087,143.0087,143.0087,504.1889,504.1889,504.1889,504.1889,504.1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9975,106.9975,106.9975,106.9975,106.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.9324,-29.9324,-29.9324,-29.9324,-29.9324,0.0,0.0,0.0,0.0,0.0,801.6183,801.6183,801.6183,801.6183,801.6183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836,0.0,0.0,0.0,0.0,0.0,26464.1284,26464.1284,26464.1284,26464.1284,26464.1284,0.0,0.0,0.0,0.0,0.0,1054.5836,1054.5836,1054.5836,1054.5836,1054.5836
