Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,109.1356,367.6569,205.823,0.0,106.8261,8.1946,197.6284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2611,0.0,0.0,16.2611,0.0,1163.9413,0.0,258.6152,905.3262
2025,116.8479,385.6518,152.413,0.0,86.815,0.0,160.6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2938,0.0,20.1569,32.5178,33.0372,1065.1243,0.0,444.045,879.6946
2026,124.9986,403.4731,83.663,0.0,45.2233,0.0,83.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8233,0.0,61.9011,27.8852,101.4559,1026.6597,0.0,616.8239,853.8807
2027,133.6832,422.2532,3.8473,0.0,2.0796,0.0,3.8473,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,150.2191,0.0,105.1763,5.7204,172.3839,993.4097,0.0,782.6373,827.5963
2028,143.2636,441.6022,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.9372,0.0,107.1737,0.0,175.6576,916.6544,0.0,899.7481,799.5436
2029,153.1818,461.8165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.4197,0.0,107.0285,0.0,175.4197,850.2432,0.0,977.8724,772.1188
2030,163.8661,483.4668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.2371,0.0,106.9171,0.0,175.2371,789.4927,0.0,1023.6199,743.7452
2031,175.32,506.5046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.2714,0.0,106.938,0.0,175.2714,728.4681,0.0,1037.4972,714.5908
2032,187.5793,530.9447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.8518,0.0,106.682,0.0,174.8518,668.0092,0.0,1020.7715,684.7349
2033,200.7454,557.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.8173,0.0,106.8798,15.6412,175.1761,591.0026,0.0,957.8058,653.9683
2034,214.898,585.1779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.7421,0.0,107.0063,0.0,175.3833,561.102,0.0,896.6351,622.2727
2035,229.8205,599.3823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.8394,0.0,966.0035,590.4711
2036,245.908,614.0968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.8627,0.0,1007.3182,557.548
2037,263.1215,636.6137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.8864,0.0,1021.377,523.8275
2038,281.54,648.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.9107,0.0,1008.9972,489.2905
2039,301.2478,670.8023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.9356,0.0,971.0157,453.9171
2040,322.3352,710.5701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.9611,0.0,908.2896,417.6871
2041,344.8986,754.3581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.9872,0.0,821.6971,380.5797
2042,369.0415,799.2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0141,0.0,712.1375,342.5737
2043,394.8744,846.8133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0417,0.0,580.5318,303.6474
2044,422.5156,895.3193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0702,0.0,427.8236,263.7783
2045,452.0917,946.2155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0995,0.0,254.9793,222.9438
2046,509.5686,998.6103,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,120.4926,134.4867
2047,549.2992,1052.0442,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,36.8831,83.6096
2048,588.6907,1108.3634,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8831
2049,630.6971,1188.1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,107.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0
2050,674.4599,1260.8006,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0
2051,680.4136,1291.6716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,685.4198,1320.9018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2053,686.4832,1359.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,694.228,1390.6069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,707.757,1413.3246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2056,716.5966,1424.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,730.9285,1429.5629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
